"No.","Time","Source","Destination","Protocol","Length","Info"
"1","16:27:48.879682000","127.0.0.1","127.0.0.1","TCP","68","58536  >  5681 [PSH, ACK] Seq=1 Ack=1 Win=22 Len=2 TSval=3312701696 TSecr=3312701696"
"2","16:27:48.887473000","127.0.0.1","127.0.0.1","TCP","68","5681  >  58536 [PSH, ACK] Seq=1 Ack=3 Win=22 Len=2 TSval=3312701704 TSecr=3312701696"
"3","16:27:48.991345000","127.0.0.1","127.0.0.1","TCP","73","58538  >  5681 [PSH, ACK] Seq=1 Ack=1 Win=22 Len=7 TSval=3312701808 TSecr=3312701807"
"4","16:27:48.991467000","127.0.0.1","127.0.0.1","TCP","73","5681  >  58538 [PSH, ACK] Seq=1 Ack=8 Win=22 Len=7 TSval=3312701808 TSecr=3312701808"
"5","16:27:49.116024000","127.0.0.1","127.0.0.1","TCP","78","58540  >  5681 [PSH, ACK] Seq=1 Ack=1 Win=22 Len=12 TSval=3312701932 TSecr=3312701932"
"6","16:27:49.116165000","127.0.0.1","127.0.0.1","TCP","78","5681  >  58540 [PSH, ACK] Seq=1 Ack=13 Win=22 Len=12 TSval=3312701932 TSecr=3312701932"
"7","16:27:49.256123000","127.0.0.1","127.0.0.1","TCP","83","58542  >  5681 [PSH, ACK] Seq=1 Ack=1 Win=22 Len=17 TSval=3312702072 TSecr=3312702072"
"8","16:27:49.256280000","127.0.0.1","127.0.0.1","TCP","83","5681  >  58542 [PSH, ACK] Seq=1 Ack=18 Win=22 Len=17 TSval=3312702073 TSecr=3312702072"
"9","16:27:49.422717000","127.0.0.1","127.0.0.1","TCP","88","58544  >  5681 [PSH, ACK] Seq=1 Ack=1 Win=22 Len=22 TSval=3312702239 TSecr=3312702239"
"10","16:27:49.423023000","127.0.0.1","127.0.0.1","TCP","88","5681  >  58544 [PSH, ACK] Seq=1 Ack=23 Win=22 Len=22 TSval=3312702239 TSecr=3312702239"
"11","16:27:49.602032000","127.0.0.1","127.0.0.1","TCP","93","58546  >  5681 [PSH, ACK] Seq=1 Ack=1 Win=22 Len=27 TSval=3312702418 TSecr=3312702418"
"12","16:27:49.602422000","127.0.0.1","127.0.0.1","TCP","93","5681  >  58546 [PSH, ACK] Seq=1 Ack=28 Win=22 Len=27 TSval=3312702419 TSecr=3312702418"
"13","16:27:49.761346000","127.0.0.1","127.0.0.1","TCP","98","58548  >  5681 [PSH, ACK] Seq=1 Ack=1 Win=22 Len=32 TSval=3312702578 TSecr=3312702577"
