Payload Size, Packet Size, RTT
0,68,0.007790999999997439
5,73,0.00012199999999751299
10,78,0.0001409999999992806
15,83,0.0001569999999944116
20,88,0.00030600000000191585
25,93,0.00038999999999589363
30,98,0.00020199999999448437
35,103,0.00016500000000263526
40,108,0.00017600000000328464
45,113,0.00034799999999535203
50,118,0.00045300000000025875
55,123,0.00019900000000205864
60,128,0.00016500000000263526
65,133,0.00021300000000223918
70,138,0.0002289999999973702
75,143,0.00013099999999610645
80,148,0.00018999999999635975
85,153,0.00023000000000195087
90,158,0.00018800000000140926
95,163,0.0006790000000052032
100,168,0.00019300000000299633
