"No.","Time","Source","Destination","Protocol","Length","Info"
"1","12:24:34.546807000","10.0.2.15","10.0.2.6","TCP","68","44366  >  5681 [PSH, ACK] Seq=1 Ack=1 Win=21 Len=2 TSval=1379990670 TSecr=484875441"
"2","12:24:34.552620000","10.0.2.6","10.0.2.15","TCP","68","5681  >  44366 [PSH, ACK] Seq=1 Ack=3 Win=22 Len=2 TSval=484875447 TSecr=1379990670"
"3","12:24:34.658890000","10.0.2.15","10.0.2.6","TCP","73","44368  >  5681 [PSH, ACK] Seq=1 Ack=1 Win=21 Len=7 TSval=1379990782 TSecr=484875553"
"4","12:24:34.659557000","10.0.2.6","10.0.2.15","TCP","73","5681  >  44368 [PSH, ACK] Seq=1 Ack=8 Win=22 Len=7 TSval=484875554 TSecr=1379990782"
"5","12:24:34.843425000","10.0.2.15","10.0.2.6","TCP","78","44370  >  5681 [PSH, ACK] Seq=1 Ack=1 Win=21 Len=12 TSval=1379990966 TSecr=484875737"
"6","12:24:34.844068000","10.0.2.6","10.0.2.15","TCP","78","5681  >  44370 [PSH, ACK] Seq=1 Ack=13 Win=22 Len=12 TSval=484875738 TSecr=1379990966"
"7","12:24:34.978736000","10.0.2.15","10.0.2.6","TCP","83","44372  >  5681 [PSH, ACK] Seq=1 Ack=1 Win=21 Len=17 TSval=1379991102 TSecr=484875872"
"8","12:24:34.979262000","10.0.2.6","10.0.2.15","TCP","83","5681  >  44372 [PSH, ACK] Seq=1 Ack=18 Win=22 Len=17 TSval=484875873 TSecr=1379991102"
"9","12:24:35.183945000","10.0.2.15","10.0.2.6","TCP","88","44374  >  5681 [PSH, ACK] Seq=1 Ack=1 Win=21 Len=22 TSval=1379991307 TSecr=484876078"
"10","12:24:35.184583000","10.0.2.6","10.0.2.15","TCP","88","5681  >  44374 [PSH, ACK] Seq=1 Ack=23 Win=22 Len=22 TSval=484876078 TSecr=1379991307"
"11","12:24:35.307720000","10.0.2.15","10.0.2.6","TCP","93","44376  >  5681 [PSH, ACK] Seq=1 Ack=1 Win=21 Len=27 TSval=1379991431 TSecr=484876201"
"12","12:24:35.308542000","10.0.2.6","10.0.2.15","TCP","93","5681  >  44376 [PSH, ACK] Seq=1 Ack=28 Win=22 Len=27 TSval=484876202 TSecr=1379991431"
"13","12:24:35.531302000","10.0.2.15","10.0.2.6","TCP","98","44378  >  5681 [PSH, ACK] Seq=1 Ack=1 Win=21 Len=32 TSval=1379991654 TSecr=484876425"
"14","12:24:35.531797000","10.0.2.6","10.0.2.15","TCP","98","5681  >  44378 [PSH, ACK] Seq=1 Ack=33 Win=22 Len=32 TSval=484876425 TSecr=1379991654"
"15","12:24:35.619744000","10.0.2.15","10.0.2.6","TCP","103","44380  >  5681 [PSH, ACK] Seq=1 Ack=1 Win=21 Len=37 TSval=1379991743 TSecr=484876513"
"16","12:24:35.620644000","10.0.2.6","10.0.2.15","TCP","103","5681  >  44380 [PSH, ACK] Seq=1 Ack=38 Win=22 Len=37 TSval=484876514 TSecr=1379991743"
"17","12:24:35.741837000","10.0.2.15","10.0.2.6","TCP","108","44382  >  5681 [PSH, ACK] Seq=1 Ack=1 Win=21 Len=42 TSval=1379991865 TSecr=484876635"
"18","12:24:35.742592000","10.0.2.6","10.0.2.15","TCP","108","5681  >  44382 [PSH, ACK] Seq=1 Ack=43 Win=22 Len=42 TSval=484876636 TSecr=1379991865"
"19","12:24:35.871271000","10.0.2.15","10.0.2.6","TCP","113","44384  >  5681 [PSH, ACK] Seq=1 Ack=1 Win=21 Len=47 TSval=1379991994 TSecr=484876765"
