Payload Size, Packet Size, RTT
0,44,0.003039000000001124
5,49,0.00017299999999664806
10,54,0.0001560000000040418
15,59,0.00023200000000400678
20,64,0.0014809999999982892
25,69,0.0003950000000045861
30,74,0.00015100000000245473
35,79,0.0002539999999982001
40,84,0.00019600000000252749
45,89,0.00015599999999693637
50,94,0.00019600000000252749
55,99,0.00016699999999758575
60,104,0.0003069999999993911
65,109,0.0001829999999998222
70,114,0.0003969999999995366
75,119,0.00030000000000285354
80,124,0.0002959999999987417
85,129,0.00021699999999924557
90,134,0.0002150000000042951
95,139,0.00029600000000584714
100,144,0.000461000000001377
