"No.","Time","Source","Destination","Protocol","Length","Info"
"1","12:36:00.034363000","10.0.2.15","10.0.2.6","UDP","44","26725  >  5681 Len=2"
"2","12:36:00.037890000","10.0.2.6","10.0.2.15","UDP","60","5681  >  26725 Len=2"
"3","12:36:00.134168000","10.0.2.15","10.0.2.6","UDP","49","62249  >  5681 Len=7"
"4","12:36:00.134786000","10.0.2.6","10.0.2.15","UDP","60","5681  >  62249 Len=7"
"5","12:36:00.229253000","10.0.2.15","10.0.2.6","UDP","54","32667  >  5681 Len=12"
"6","12:36:00.229941000","10.0.2.6","10.0.2.15","UDP","60","5681  >  32667 Len=12"
"7","12:36:00.374832000","10.0.2.15","10.0.2.6","UDP","59","63070  >  5681 Len=17"
"8","12:36:00.375424000","10.0.2.6","10.0.2.15","UDP","60","5681  >  63070 Len=17"
"9","12:36:00.560323000","10.0.2.15","10.0.2.6","UDP","64","27526  >  5681 Len=22"
"10","12:36:00.560949000","10.0.2.6","10.0.2.15","UDP","64","5681  >  27526 Len=22"
"11","12:36:00.693974000","10.0.2.15","10.0.2.6","UDP","69","37665  >  5681 Len=27"
"12","12:36:00.694623000","10.0.2.6","10.0.2.15","UDP","69","5681  >  37665 Len=27"
"13","12:36:00.784908000","10.0.2.15","10.0.2.6","UDP","74","30058  >  5681 Len=32"
"14","12:36:00.785520000","10.0.2.6","10.0.2.15","UDP","74","5681  >  30058 Len=32"
"15","12:36:00.923972000","10.0.2.15","10.0.2.6","UDP","79","55905  >  5681 Len=37"
"16","12:36:00.924658000","10.0.2.6","10.0.2.15","UDP","79","5681  >  55905 Len=37"
"17","12:36:01.133710000","10.0.2.15","10.0.2.6","UDP","84","58077  >  5681 Len=42"
"18","12:36:01.134245000","10.0.2.6","10.0.2.15","UDP","84","5681  >  58077 Len=42"
"19","12:36:01.316615000","10.0.2.15","10.0.2.6","UDP","89","36830  >  5681 Len=47"
"20","12:36:01.317243000","10.0.2.6","10.0.2.15","UDP","89","5681  >  36830 Len=47"
"21","12:36:01.400869000","10.0.2.15","10.0.2.6","UDP","94","60808  >  5681 Len=52"
"22","12:36:01.401570000","10.0.2.6","10.0.2.15","UDP","94","5681  >  60808 Len=52"
"23","12:36:01.533393000","10.0.2.15","10.0.2.6","UDP","99","53684  >  5681 Len=57"
"24","12:36:01.534040000","10.0.2.6","10.0.2.15","UDP","99","5681  >  53684 Len=57"
"25","12:36:01.616734000","10.0.2.15","10.0.2.6","UDP","104","40834  >  5681 Len=62"
"26","12:36:01.617346000","10.0.2.6","10.0.2.15","UDP","104","5681  >  40834 Len=62"
"27","12:36:01.755670000","10.0.2.15","10.0.2.6","UDP","109","60044  >  5681 Len=67"
"28","12:36:01.756670000","10.0.2.6","10.0.2.15","UDP","109","5681  >  60044 Len=67"
"29","12:36:01.886608000","10.0.2.15","10.0.2.6","UDP","114","29967  >  5681 Len=72"
"30","12:36:01.887392000","10.0.2.6","10.0.2.15","UDP","114","5681  >  29967 Len=72"
"31","12:36:02.098585000","10.0.2.15","10.0.2.6","UDP","119","54528  >  5681 Len=77"
"32","12:36:02.099161000","10.0.2.6","10.0.2.15","UDP","119","5681  >  54528 Len=77"
"33","12:36:02.222031000","10.0.2.15","10.0.2.6","UDP","124","51719  >  5681 Len=82"
"34","12:36:02.222641000","10.0.2.6","10.0.2.15","UDP","124","5681  >  51719 Len=82"
"35","12:36:02.399102000","10.0.2.15","10.0.2.6","UDP","129","34451  >  5681 Len=87"
"36","12:36:02.399769000","10.0.2.6","10.0.2.15","UDP","129","5681  >  34451 Len=87"
"37","12:36:02.639726000","10.0.2.15","10.0.2.6","UDP","134","61022  >  5681 Len=92"
"38","12:36:02.640446000","10.0.2.6","10.0.2.15","UDP","134","5681  >  61022 Len=92"
"39","12:36:02.762956000","10.0.2.15","10.0.2.6","UDP","139","19830  >  5681 Len=97"
"40","12:36:02.763527000","10.0.2.6","10.0.2.15","UDP","139","5681  >  19830 Len=97"
"41","12:36:02.889878000","10.0.2.15","10.0.2.6","UDP","144","64349  >  5681 Len=102"
"42","12:36:02.890690000","10.0.2.6","10.0.2.15","UDP","144","5681  >  64349 Len=102"
