Payload Size, Packet Size, RTT
0,44,0.0035270000000000024
5,49,0.0006179999999999797
10,54,0.0006879999999999942
15,59,0.0005919999999999814
20,64,0.0006260000000000154
25,69,0.0006490000000000107
30,74,0.0006119999999999459
35,79,0.0006859999999999644
40,84,0.0005349999999999522
45,89,0.0006279999999998509
50,94,0.0007010000000000627
55,99,0.0006470000000000642
60,104,0.0006120000000000569
65,109,0.0009999999999998899
70,114,0.0007839999999998959
75,119,0.000576000000000132
80,124,0.0006099999999999994
85,129,0.0006669999999999732
90,134,0.0007199999999998319
95,139,0.0005709999999998772
100,144,0.000812000000000257
